Path Way,File Name,Camera,Datetime,Width,Height,Depth,Defect Type,xmin,ymin,xmax,ymax,Score
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T105055.xml,inner_bore_211202T105055.xml,inner_bore,2021-12-02  05:05:05,1000,7990,1,Crack-minor,213,5829,274,5864,0.99123632907867
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T110038.xml,inner_bore_211202T110038.xml,inner_bore,2021-12-02  10:03:08,1000,7990,1,Crack,366,7117,397,7286,0.99990272521973
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T110038.xml,inner_bore_211202T110038.xml,inner_bore,2021-12-02  10:03:08,1000,7990,1,Crack-outoffocus,275,4258,368,4278,0.91733926534653
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T110106.xml,inner_bore_211202T110106.xml,inner_bore,2021-12-02  10:10:06,1000,7990,1,Crack,296,2622,409,2650,0.96715897321701
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T110106.xml,inner_bore_211202T110106.xml,inner_bore,2021-12-02  10:10:06,1000,7990,1,Crack,550,1110,575,1230,0.59439063072205
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T110640.xml,inner_bore_211202T110640.xml,inner_bore,2021-12-02  10:06:40,1000,7990,1,Crack,473,7552,497,7714,0.99961191415787
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T111043.xml,inner_bore_211202T111043.xml,inner_bore,2021-12-02  11:04:03,1000,7990,1,Crack,641,7184,683,7348,0.99921977519989
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T111058.xml,inner_bore_211202T111058.xml,inner_bore,2021-12-02  11:05:08,1000,7990,1,Crack-minor,219,6096,264,6119,0.99121737480164
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T111544.xml,inner_bore_211202T111544.xml,inner_bore,2021-12-02  11:54:04,1000,7990,1,Crack-minor,223,619,288,646,0.99977475404739
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T111704.xml,inner_bore_211202T111704.xml,inner_bore,2021-12-02  11:07:04,1000,7990,1,Crack,382,4286,416,4446,0.99909174442291
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T111909.xml,inner_bore_211202T111909.xml,inner_bore,2021-12-02  11:09:09,1000,7990,1,Crack,506,2067,534,2225,0.97508019208908
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T112520.xml,inner_bore_211202T112520.xml,inner_bore,2021-12-02  12:52:00,1000,7990,1,Crack,329,7018,380,7088,0.99862492084503
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T113601.xml,inner_bore_211202T113601.xml,inner_bore,2021-12-02  13:06:01,1000,7990,1,Crack-minor,217,1856,277,1889,0.98720479011536
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T113705.xml,inner_bore_211202T113705.xml,inner_bore,2021-12-02  13:07:05,1000,7990,1,Crack,640,7206,684,7342,0.99942976236343
D:\data\vision_6830\image_data\inner_bore\nok\211202\inner_bore_211202T114532.xml,inner_bore_211202T114532.xml,inner_bore,2021-12-02  14:53:02,1000,7990,1,Crack-minor,215,5988,274,6009,0.99702030420303
