Path Way,File Name,Width,Height,Depth,Defect Type,xmin,ymin,xmax,ymax,Score
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T081632.xml,inner_bore_211123T081632.xml,1000,7990,1,Crack,579,1727,612,1821,0.99983751773834
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T081639.xml,inner_bore_211123T081639.xml,1000,7990,1,Crack,547,2783,575,2888,0.99977272748947
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T082327.xml,inner_bore_211123T082327.xml,1000,7990,1,Crack,426,6291,471,6520,0.99590140581131
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T082358.xml,inner_bore_211123T082358.xml,1000,7990,1,Crack,372,3282,393,3389,0.99758160114288
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T083022.xml,inner_bore_211123T083022.xml,1000,7990,1,Crack-minor,214,5638,272,5661,0.9997221827507
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T084657.xml,inner_bore_211123T084657.xml,1000,7990,1,Crack,536,1701,598,1738,0.99939811229706
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T084703.xml,inner_bore_211123T084703.xml,1000,7990,1,Crack,546,2730,606,2768,0.99815779924393
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T084815.xml,inner_bore_211123T084815.xml,1000,7990,1,Crack-minor,214,5766,276,5785,0.99563449621201
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T085016.xml,inner_bore_211123T085016.xml,1000,7990,1,Crack,520,5320,575,5427,0.99993622303009
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T085023.xml,inner_bore_211123T085023.xml,1000,7990,1,Crack,575,6415,617,6518,0.99982869625092
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T085734.xml,inner_bore_211123T085734.xml,1000,7990,1,Crack,442,3109,473,3191,0.99975055456161
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T085917.xml,inner_bore_211123T085917.xml,1000,7990,1,Crack,302,6663,329,6778,0.99248683452606
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T090517.xml,inner_bore_211123T090517.xml,1000,7990,1,Crack,368,5043,401,5122,0.99707674980164
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T090527.xml,inner_bore_211123T090527.xml,1000,7990,1,Crack,398,5825,434,5898,0.99816954135895
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T090549.xml,inner_bore_211123T090549.xml,1000,7990,1,Crack,372,2967,422,3050,0.98925668001175
